Quinton de Kock: 141
Nicholas Pooran: 114
Shardul Thakur: 112
Pat Cummins: 94
Noor Ahmad: 91
Josh Hazlewood: 87
Sai Sudharsan: 87
Phil Salt: 81
Mitchell Marsh: 79
Hardik Pandya: 78
Mohammed Siraj: 78
Rajat Patidar: 77
Yash Dayal: 72
Suryakumar Yadav: 71
Harshit Rana: 70
Travis Head: 70
Liam Livingstone: 66
Moeen Ali: 65
Rachin Ravindra: 64
MS Dhoni: 63
Vaibhav Arora: 62
Shubman Gill: 62
Varun Chakaravarthy: 60
Aniket Verma: 60
Prasidh Krishna: 60
Tilak Varma: 60
Jos Buttler: 58
Matheesha Pathirana: 54
Nitish Kumar Reddy: 50
Dhruv Jurel: 46
Prince Yadav: 43
Harshal Patel: 43
Virat Kohli: 43
Devdutt Padikkal: 43
Riyan Parag: 41
Abdul Samad: 40
Yashasvi Jaiswal: 39
Heinrich Klaasen: 38
Ravichandran Ashwin: 37
Ravindra Jadeja: 37
Trent Boult: 37
Naman Dhir: 37
Angkrish Raghuvanshi: 36
Kagiso Rabada: 36
Spencer Johnson: 35
Digvesh Singh: 35
Ravi Bishnoi: 35
Mitchell Santner: 35
Ajinkya Rahane: 33
Tim David: 33
Mohammad Shami: 32
Bhuvneshwar Kumar: 31
Sherfane Rutherford: 30
Sai Kishore: 30
Wanindu Hasaranga: 29
Rishabh Pant: 29
Khaleel Ahmed: 29
Deepak Chahar: 29
David Miller: 27
Jitesh Sharma: 27
Shivam Dube: 27
Ryan Rickelton: 27
Avesh Khan: 25
Adam Zampa: 25
Mujeeb Ur Rahman: 23
Satyanarayana Raju: 23
Sanju Samson: 19
Ayush Badoni: 19
Jofra Archer: 18
Deepak Hooda: 17
Rashid Khan: 16
Shahrukh Khan: 15
Shubham Dubey: 14
Tushar Deshpande: 14
Sam Curran: 14
Rohit Sharma: 14
Nitish Rana: 12
Shimron Hetmyer: 12
Andre Russell: 12
Manoj Bhandage: 12
Rahul Tewatia: 12
Ishant Sharma: 12
Maheesh Theekshana: 11
Rahul Tripathi: 10
Ruturaj Gaikwad: 10
Abhishek Sharma: 9
Sandeep Sharma: 8
Robin Minz: 7
Abhinav Manohar: 6
Aiden Markram: 5
Venkatesh Iyer: 4
Rinku Singh: 4
Ramandeep Singh: 4
Krunal Pandya: 4
Suyash Sharma: 4
Ishan Kishan: 2
Simarjeet Singh: 1
