Player name:,Bid:,Won by:,,Budgets,,,Budget Remaining,Players
Chennai Super Kings,,,,Vihaan,300,,5,16
Batsmen:,,,,Sidhant,300,,7,17
,,,,Aarya,300,,0,16
Ruturaj Gaikwad (c),38,Aarav,,Aarav,300,,8,19
Devon Conway,22,Agastya,,Agastya,300,,6,15
Rahul Tripathi,13,Vihaan,,Krish,300,,2,18
Shaik Rasheed,,,,Sippy,300,,0,16
,,,,,,,,
All-rounders:,,,,,,,,
,,,,,,,,
Ravindra Jadeja,35,Vihaan,,,,,,
Rachin Ravindra,33,Aarya,,,,,,
Vijay Shankar,,,,,,,,
Deepak Hooda,5,Krish,,,,,,
Shivam Dube,25,Krish,,,,,,
Sam Curran,5,Sidhant,,,,,,
Ravichandran Ashwin,25,Aarya,,,,,,
,,,,,,,,
Bowlers:,,,,,,,,
,,,,,,,,
Noor Ahmad,16,Sippy,,,,,,
Khaleel Ahmed,17,Agastya,,,,,,
Gurjapneet Singh,,,,,,,,
Mukesh Choudhary,5,Aarav,,,,,,
Nathan Ellis,5,Krish,,,,,,
Shreyas Gopal,,,,,,,,
Kamlesh Nagarkoti,,,,,,,,
Matheesha Pathirana,27,Sidhant,,,,,,
Anshul Kamboj,5,Sidhant,,,,,,
,,,,,,,,
Wicketkeepers:,,,,,,,,
,,,,,,,,
MS Dhoni,35,Aarya,,,,,,
Ramakrishna Ghosh,,,,,,,,
Andre Siddarth,,,,,,,,
,,,,,,,,
Delhi Capitals,,,,,,,,
Batsmen:,,,,,,,,
,,,,,,,,
Faf du Plessis (vc),30,Agastya,,,,,,
Jake Fraser-McGurk,29,Vihaan,,,,,,
Karun Nair,5,Aarya,,,,,,
Sameer Rizvi,,,,,,,,
Tristan Stubbs,29,Krish,,,,,,
Ashutosh Sharma,11,Aarav,,,,,,
,,,,,,,,
All-rounders:,,,,,,,,
Axar Patel (c),40,Sippy,,,,,,
Donovan Ferreira,,,,,,,,
Ajay Mandal,,,,,,,,
Manvanth Kumar,,,,,,,,
Madhav Tiwari,,,,,,,,
,,,,,,,,
,,,,,,,,
Bowlers:,,,,,,,,
,,,,,,,,
Dushmantha Chameera,,,,,,,,
Kuldeep Yadav,27,Sippy,,,,,,
Mukesh Kumar,14,Krish,,,,,,
Darshan Nalkande,,,,,,,,
T Natarajan,15,Sidhant,,,,,,
Mitchell Starc,33,Krish,,,,,,
Mohit Sharma,15,Vihaan,,,,,,
Vipraj Nigam,,,,,,,,
Tripurana Vijay,,,,,,,,
,,,,,,,,
Wicketkeepers:,,,,,,,,
,,,,,,,,
KL Rahul ,33,Aarya,,,,,,
Abishek Porel,8,Krish,,,,,,
,,,,,,,,
Gujarat Titans,,,,,,,,
Batsmen:,,,,,,,,
,,,,,,,,
Shubman Gill (c),50,Agastya,,,,,,
Sai Sudharsan,20,Agastya,,,,,,
M Shahrukh Khan,5,Aarav,,,,,,
,,,,,,,,
All-rounders:,,,,,,,,
,,,,,,,,
Rashid Khan (vc),47,Vihaan,,,,,,
Karim Janat,,,,,,,,
Mahipal Lomror,5,Aarav,,,,,,
Glenn Phillips,20,Sippy,,,,,,
Nishant Sindhu,,,,,,,,
Manav Suthar,,,,,,,,
Rahul Tewatia,8,Sippy,,,,,,
Washington Sundar,8,Aarav,,,,,,
,,,,,,,,
Bowlers:,,,,,,,,
,,,,,,,,
Arshad Khan,,,,,,,,
Gerald Coetzee,,,,,,,,
Gurnoor Brar,,,,,,,,
Kulwant Khejroliya,,,,,,,,
Mohammed Siraj,22,Vihaan,,,,,,
Prasidh Krishna,16,Aarav,,,,,,
Kagiso Rabada,20,Agastya,,,,,,
Sai Kishore,6,Krish,,,,,,
Ishant Sharma,,,,,,,,
Jayant Yadav,,,,,,,,
,,,,,,,,
Wicketkeepers:,,,,,,,,
,,,,,,,,
Jos Buttler,45,Aarav,,,,,,
Anuj Rawat,,,,,,,,
Kumar Kushagra,,,,,,,,
,,,,,,,,
Kolkata Knight Riders,,,,,,,,
Batsmen:,,,,,,,,
,,,,,,,,
Ajinkya Rahane (c),17,Sippy,,,,,,
Manish Pandey,7,Sippy,,,,,,
Rovman Powell,,,,,,,,
Angkrish Raghuvanshi,6,Aarya,,,,,,
Rinku Singh,15,Vihaan,,,,,,
Ramandeep Singh,9,Krish,,,,,,
,,,,,,,,
All-rounders:,,,,,,,,
,,,,,,,,
Venkatesh Iyer (vc),22,Vihaan,,,,,,
