*feewd XI
Batsmen
Faf du Plessis
Shubman Gill
Sai Sudharsan
Nicholas Pooran (WK)
Ryan Rickelton (WK)
Mayank Agarwal

All-rounders
Priyansh Arya
Krunal Pandya
Ayush Badoni
Marcus Stoinis

Bowlers
Khaleel Ahmed
Yuzvendra Chahal
Mohammad Shami
Digvesh Singh
T Natarajan
Kagiso Rabada

*TIOY XI
Batsmen
Travis Head (WK)
Phil Salt (WK)
Shimron Hetmyer
Karun Nair
Ayush Mhatre

All-rounders
Andre Russell
Pat Cummins
Marco Jansen
Harpreet Brar
Sam Curran

Bowlers
Matheesha Pathirana
Harshit Rana
Josh Hazlewood
Jofra Archer
Jasprit Bumrah

*BUOYS 11
Batsmen
Shreyas Iyer
Ajinkya Rahane
Sameer Rizvi
Heinrich Klaasen (WK)
Lhuan-dre Pretorius
Rahmanullah Gurbaz (WK)

All-rounders
Axar Patel
Sunil Narine
Aiden Markram
Shardul Thakur

Bowlers
Noor Ahmad
Kuldeep Yadav
Trent Boult 
Deepak Chahar

*AARAV XI
Batsmen
Suryakumar Yadav
Yashasvi Jaiswal
Jos Buttler (WK)
Ishan Kishan (WK)
Rajat Patidar
Nehal Wadhera

All-rounders
Sherfane Rutherford
Mitchell Marsh
Vipraj Nigam
Harshal Patel

Bowlers
Varun Chakaravarthy
Mayank Yadav
Prasidh Krishna
Arshdeep Singh
Vaibhav Arora

*Boston XI
Batsmen
Tristan Stubbs
Prabhsimran Singh (WK)
Rishabh Pant (WK)
Tim David
Rinku Singh

All-rounders
Abhishek Sharma
Corbin Bosch
Shivam Dube
Tilak Varma
Ashutosh Sharma

Bowlers
Gerald Coetzee
Lungi Ngidi
Mukesh Kumar
Xavier Bartlett
Bhuvneshwar Kumar

*King XI
Batsmen
Virat Kohli
Angkrish Raghuvanshi
David Miller
Shashank Singh 
MS Dhoni (WK)
KL Rahul (WK)
Dewald Brevis

All-rounders
Hardik Pandya
Rachin Ravindra 
Mitchell Santner 
Ravichandran Ashwin 
Sai Kishore
Washington Sundar

Bowlers
Rasikh Salam
Yash Dayal

*LINGARD FC
Batsmen
Rohit Sharma
Venkatesh Iyer
Jitesh Sharma (WK)
Abishek Porel (WK)
Aniket Verma
Josh Inglis (WK)
Vaibhav Sooryavanshi

All-rounders
Ravindra Jadeja
Rashid Khan
Will Jacks
Riyan Parag
Karn Sharma

Bowlers
Mohammad Siraj
Avesh Khan
